id,nom,secteur,localisation,effectif,signal_croissance,site_web,paiement_en_ligne,score,score_reasons,statut,date_contact,message_genere
1,Nova 1,Finance,Agoè-Nyivé,25,Data/BI,true,true,95,"Secteur prioritaire haute valeur (Finance) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Scoré,2026-08-12,
2,Impact 2,Agroalimentaire,Atakpamé,5,Data/BI,true,false,40,Secteur hors cible (Agroalimentaire) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Data/BI,Contacté,,"Bonjour, votre besoin en Data/BI montre la dynamique de Impact 2. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
3,Élite 3,Santé,Agoè-Nyivé,12,Application mobile,true,false,90,"Secteur prioritaire (Santé) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Scoré,,
4,Orion 4,Commerce,Lomé,50,Data/BI,true,true,85,"Secteur secondaire (Commerce) | Taille idéale (50 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Scoré,,
5,Alliance 5,Commerce,Lomé,18,Développement web,true,true,80,"Secteur secondaire (Commerce) | Taille correcte (18 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Contacté,,"Bonjour, votre besoin en Développement web montre la dynamique de Alliance 5. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
6,Nova 6,Services,Atakpamé,12,Marketing digital,true,false,65,Secteur secondaire (Services) | Taille correcte (12 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Marketing digital,Converti,2026-09-01,"Bonjour, votre besoin en Marketing digital montre la dynamique de Nova 6. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
7,Impact 7,Finance,Kara,35,Développement web,true,true,90,"Secteur prioritaire haute valeur (Finance) | Taille correcte (35 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Développement web",Converti,2026-09-05,"Bonjour, votre besoin en Développement web montre la dynamique de Impact 7. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
8,Alliance 8,Distribution,Kpalimé,18,Application mobile,true,false,65,Secteur secondaire (Distribution) | Taille correcte (18 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Relancé,2026-09-05,"Bonjour, votre besoin en Application mobile montre la dynamique de Alliance 8. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
9,Avenir 9,Commerce,Kpalimé,12,Automatisation,true,true,65,Secteur secondaire (Commerce) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Relancé,2026-09-01,"Bonjour, votre besoin en Automatisation montre la dynamique de Avenir 9. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
10,Avenir 10,Technologie,Kpalimé,8,Développement web,true,true,60,Secteur prioritaire (Technologie) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Converti,,"Bonjour, votre besoin en Développement web montre la dynamique de Avenir 10. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
11,Orion 11,Distribution,Lomé,120,Application mobile,true,false,85,"Secteur secondaire (Distribution) | Taille idéale (120 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Relancé,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Orion 11. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
12,Élite 12,Industrie,Lomé,5,Data/BI,true,false,65,"Secteur secondaire (Industrie) | Taille inadaptée (5 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Converti,2026-09-05,"Bonjour, votre besoin en Data/BI montre la dynamique de Élite 12. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
13,Orion 13,Distribution,Kpalimé,12,Développement web,true,false,65,Secteur secondaire (Distribution) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Converti,2026-09-01,"Bonjour, votre besoin en Développement web montre la dynamique de Orion 13. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
14,Élite 14,Industrie,Kara,120,CRM,true,false,80,"Secteur secondaire (Industrie) | Taille idéale (120 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : CRM",Contacté,2026-09-10,"Bonjour, votre besoin en CRM montre la dynamique de Élite 14. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
15,Avenir 15,Commerce,Agoè-Nyivé,5,Data/BI,true,true,65,"Secteur secondaire (Commerce) | Taille inadaptée (5 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Converti,2026-09-05,"Bonjour, votre besoin en Data/BI montre la dynamique de Avenir 15. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
16,Orion 16,Distribution,Agoè-Nyivé,75,Marketing digital,true,false,85,"Secteur secondaire (Distribution) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Non intéressé,2026-09-05,
17,Avenir 17,Technologie,Lomé,8,Développement web,true,true,75,"Secteur prioritaire (Technologie) | Taille inadaptée (8 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Relancé,2026-09-05,"Bonjour, votre besoin en Développement web montre la dynamique de Avenir 17. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
18,Vision 18,Distribution,Kara,25,CRM,true,false,75,"Secteur secondaire (Distribution) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : CRM",Scoré,2026-08-25,
19,Vision 19,Industrie,Agoè-Nyivé,75,Automatisation,true,false,85,"Secteur secondaire (Industrie) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Contacté,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Vision 19. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
20,Orion 20,Technologie,Agoè-Nyivé,75,Data/BI,true,true,95,"Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Converti,2026-09-01,"Bonjour, votre besoin en Data/BI montre la dynamique de Orion 20. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
21,Avenir 21,Services,Atakpamé,75,,true,false,45,Secteur secondaire (Services) | Taille idéale (75 salariés) | Hors zone prioritaire (Atakpamé) | Aucun signal de croissance détecté,Relancé,2026-08-12,"Bonjour, votre croissance dans le secteur Services montre la dynamique de Avenir 21. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
22,Impact 22,Logistique,Atakpamé,8,Automatisation,true,false,60,Secteur prioritaire (Logistique) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Automatisation,Contacté,2026-09-01,"Bonjour, votre besoin en Automatisation montre la dynamique de Impact 22. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
23,Élite 23,Éducation,Kara,25,CRM,true,false,85,"Secteur prioritaire (Éducation) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : CRM",Scoré,2026-09-10,
